"municipio","ano","quarter","precio"
"Fuenlabrada",2005,2,2327.67917544559
"Galapagar",2005,2,2376.25104658089
"Getafe",2005,2,2795.18467559632
"Guadarrama",2005,2,NA
"Humanes De Madrid",2005,2,NA
"La Moraleja",2005,2,NA
"Leganés",2005,2,2644.13263701482
"Majadahonda",2005,2,3123.17059918406
"Manzanares El Real",2005,2,NA
"Meco",2005,2,NA
"Mejorada Del Campo",2005,2,NA
"Molar El",2005,2,NA
"Móstoles",2005,2,2311.71711085627
"Navalcarnero",2005,2,NA
"Paracuellos Del Jarama",2005,2,NA
"Parla",2005,2,2195.05329422993
"Pinto",2005,2,NA
"Pozuelo De Alarcón",2005,2,3579.17733929251
"Rivas-Vacíamadrid",2005,2,2527.07290354136
"Rozas De Madrid (Las)",2005,2,3205.82559989402
"San Agustín De Guadalix",2005,2,NA
"San Fernando De Henares",2005,2,2813.52182763558
"San Lorenzo Del Escorial",2005,2,3290.49479135983
"San Martín De La Vega",2005,2,1961.78482131586
"San Martín De Valdeiglesias",2005,2,NA
"San Sebastián De Los Reyes",2005,2,3008.53826883749
"Sevilla La Nueva",2005,2,2391.58782514391
"Torrejón De Ardoz",2005,2,2365.93169881896
"Torrelodones",2005,2,2976.09858766727
"Tres Cantos",2005,2,3279.45221025213
"Valdemoro",2005,2,2290.52270023088
"Villanueva De La Cañada",2005,2,NA
"Villanueva Del Pardillo",2005,2,2288.06651945915
"Villaviciosa De Odón",2005,2,NA
"Alcalá De Henares",2005,3,2624.44747953608
"Alcobendas",2005,3,3355.66001933094
"Alcorcón",2005,3,2808.937746792
"Algete",2005,3,NA
"Alpedrete",2005,3,2322.26692504789
"Aranjuez",2005,3,2197.87344278998
"Arganda Del Rey",2005,3,2248.17400698425
"Arroyomolinos",2005,3,NA
"Boadilla Del Monte",2005,3,3205.12560133452
"Brunete",2005,3,3172.49322637895
"Cercedilla",2005,3,NA
"Ciempozuelos",2005,3,2505.19582783935
"Collado Villalba",2005,3,2415.17325153551
"Colmenar Viejo",2005,3,2694.13545390331
"Coslada",2005,3,2835.23500281312
"El Escorial",2005,3,2881.98124843841
"Fuenlabrada",2005,3,2383.73625296785
"Galapagar",2005,3,2433.47787171027
"Getafe",2005,3,2813.04528055221
"Guadarrama",2005,3,NA
"Humanes De Madrid",2005,3,NA
"La Moraleja",2005,3,NA
"Leganés",2005,3,2744.7082413136
"Majadahonda",2005,3,3149.25896327831
"Manzanares El Real",2005,3,NA
"Meco",2005,3,NA
"Mejorada Del Campo",2005,3,NA
"Molar El",2005,3,NA
"Móstoles",2005,3,2331.2296053504
"Navalcarnero",2005,3,NA
"Paracuellos Del Jarama",2005,3,NA
