id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23231839,Apartamento tranquilo bien comunicado.,126227971,Carla,Ciudad Lineal,Quintana,40.43369094152255,-3.65380092571863,Entire home/apt,57,1,67,2018-11-05,8.10,3,293
23234281,2545 - Luxury Madrid Apartment with Terrace and Pool 2D,170721055,Jacques&Eva,Retiro,Adelfas,40.39948105743881,-3.671815698754585,Entire home/apt,58,32,8,2018-08-23,1.59,6,314
23241310,Cuarto privado en cuatro caminos,77976993,Victor,Tetuán,Bellas Vistas,40.45232594217658,-3.7048237480415405,Private room,15,5,2,2018-05-26,0.23,1,107
23241387,Cute apartment in Madrid,172960498,Demil And Vivi,Arganzuela,Palos de Moguer,40.40233126842081,-3.6982159513098667,Entire home/apt,50,3,12,2018-10-25,1.42,1,41
23242209,Deva`s  Home,155576998,Deva,Latina,Aluche,40.392576116520864,-3.742777993214541,Entire home/apt,55,5,8,2018-08-23,1.09,1,119
23242317,VIVIENDA CON 2 DORMITORIOS JUNTO A PLAZA SANTA ANA,109480432,Look And Find Cortes,Centro,Cortes,40.414954767703364,-3.7007701231715346,Entire home/apt,149,5,3,2018-10-13,0.36,3,260
23242437,FAMILY FLAT,40148157,Manuel,Puente de Vallecas,Portazgo,40.39253859460457,-3.6425774890912304,Entire home/apt,46,7,4,2018-10-03,0.79,1,15
23243363,Luxury 100 sqm roof terrace apt. Best location.,229284,Luis,Chamberí,Trafalgar,40.43223960606551,-3.70397875559732,Entire home/apt,160,7,0,,,1,320
23244030,Double Room Ideal for students,172984505,Angelica,Ciudad Lineal,Ventas,40.42970826523815,-3.650190813127914,Private room,25,3,9,2018-06-05,1.03,1,65
23244218,Corazón de Chueca - 3 pax,23276178,Andrea,Centro,Justicia,40.422729067882905,-3.697405673638685,Entire home/apt,80,2,7,2018-10-21,0.82,7,165
23247230,Habitación en Ático centro de Madrid muy acogedora,173010097,Sonia,Carabanchel,Vista Alegre,40.38583560730838,-3.7432810169244464,Private room,28,1,16,2018-11-01,1.80,2,218
23247573,MLR apartments Lavapiés,4599639,Martha Lucia,Centro,Embajadores,40.40677087277873,-3.700333706317014,Entire home/apt,85,3,0,,,22,347
23249770,New apartment at La Latina,38221650,Javier,Centro,Embajadores,40.4093435469136,-3.7089424446763615,Entire home/apt,55,3,34,2018-10-21,3.88,2,34
23250068,Cozy shared apartment,33253946,Javier,Retiro,Jerónimos,40.407475253610095,-3.682330871243164,Private room,55,10,2,2018-05-18,0.24,2,0
23250788,Loft en el corazón de La Latina,56250029,Miki,Centro,Palacio,40.41039661420618,-3.71198100013178,Entire home/apt,80,1,16,2018-06-03,1.87,1,0
23250964,"Lovely, modern Room in the Centre of Malasaña",173042550,Clara,Centro,Justicia,40.42641593439127,-3.6983603209246247,Private room,23,1,6,2018-04-17,0.68,1,0
23252193,"Gran Vía Area, 5 PAX, 2 Room apt. Historical bldg.",119095036,Fernando,Centro,Palacio,40.42027974769086,-3.707629050989757,Entire home/apt,95,2,54,2018-10-21,6.38,3,143
23256148,Madrid - Olavide Round Square - Design Loft,6241052,Giorgio,Chamberí,Trafalgar,40.43282093095308,-3.699789888935321,Entire home/apt,85,2,4,2018-05-20,0.53,2,0
23260706,Apartamento acogedor y cuidado,173144887,Cecilia,Puente de Vallecas,San Diego,40.38881971614644,-3.6713384726256146,Entire home/apt,43,2,39,2018-10-30,4.52,1,58
23260916,Extraordinario piso familiar cerca del Bernabéu,32046323,Juan,Chamartín,Hispanoamérica,40.45578813044889,-3.6884227505415557,Entire home/apt,310,30,0,,,88,364
23262249,Hogar nuevo y COMFY Madrid Pta Angel - Madrid Río,65895333,Hélène,Latina,Puerta del Angel,40.41158636975854,-3.7291620028758494,Entire home/apt,50,1,46,2018-11-04,5.21,1,71
23262352,MADRID CENTRO SOL LAS CORTES PASEO DEL PRADO,34480083,Madrid,Centro,Cortes,40.41499839124946,-3.6979724841711827,Entire home/apt,30,1,12,2018-10-29,1.49,11,346
23262590,MADRID CENTRO SOL LAS LETRAS LAS CORTES CONGRESO,34480083,Madrid,Centro,Cortes,40.41550545543398,-3.696618550770993,Entire home/apt,30,1,6,2018-10-08,0.97,11,346
23263016,2543 - Luxury Madrid Apartment with Terrace and Pool 3B,170721055,Jacques&Eva,Retiro,Adelfas,40.40040742135482,-3.671972968185936,Entire home/apt,52,32,15,2018-09-18,1.86,6,357
23263021,2544 - Luxury Madrid Apartment with Terrace and Pool 1B,170721055,Jacques&Eva,Retiro,Adelfas,40.399365578780646,-3.671851510963496,Entire home/apt,58,32,8,2018-09-11,1.22,6,292
23263022,"2571 - AB Luxury Madrid Studio Apartment 7A - Luxury Madrid Studio with a Terrace, Communal Pool and Panoramic Views",170721055,Jacques&Eva,Retiro,Adelfas,40.401012185210654,-3.6712082370499495,Entire home/apt,60,2,24,2018-10-20,3.36,6,145
23263487,APART. 2 - HOSPITAL LA PAZ- 4 TORRES,151144024,Alba,Fuencarral - El Pardo,Valverde,40.48494031782101,-3.685408793069998,Entire home/apt,35,2,30,2018-10-23,3.42,3,104
23265085,Home Club Los Madrazo III,159558182,Home,Centro,Cortes,40.41877344673032,-3.696895543890287,Entire home/apt,851,1,1,2018-10-11,1,83,347
23265720,"Malasaña, cozy and open concept",173175186,Jessica,Centro,Universidad,40.42458975129828,-3.7021387742999257,Entire home/apt,175,3,11,2018-11-04,1.29,2,353
23269163,Spectacular Dúplex with Terrace next to Gran Vía,52771278,Luis,Centro,Palacio,40.4201624469266,-3.7092104108088146,Entire home/apt,70,2,30,2018-10-19,3.63,3,40
23269747,Art & Dreams Plaza Mayor.,105322983,Ana,Centro,Palacio,40.4150819525468,-3.7083039505788284,Entire home/apt,175,1,40,2018-11-05,4.69,1,325
23270821,Dormir,24633086,Shun Lung,Hortaleza,Pinar del Rey,40.47265486300425,-3.652943595333304,Shared room,16,8,0,,,1,90
23273927,Habitación privada en barrio de Salamanca,119751440,Alejandro,Salamanca,Castellana,40.437427848733215,-3.684808023096702,Private room,30,1,3,2018-03-07,0.34,1,0
23274607,Habitación acojedora,173254337,Lorea,Moncloa - Aravaca,Valdezarza,40.46263127381143,-3.710332605191857,Private room,30,1,5,2018-04-15,0.63,1,0
23279434,Cozy 2 Bedroom Apartment in Malasaña/Conde Duque,172128640,Daniela & Ricardo,Centro,Universidad,40.42572532599438,-3.70895036340314,Entire home/apt,80,2,8,2018-07-15,0.96,2,31
23280751,CHUECA Estudio 3 pax WIFI,37918137,Diana,Centro,Justicia,40.42557547258966,-3.6976600260818073,Entire home/apt,70,2,44,2018-10-28,5.12,6,174
23281154,"MODERN FLAT NEARBY WIZINK CENTER,GOYA & ALCALÁ ST.",9885245,My Mad Madrid,Salamanca,Goya,40.424140535553654,-3.669759532266099,Entire home/apt,55,1,50,2018-10-30,5.68,29,339
23281523,"4 TORRES-H. ""LA PAZ""-SANTIAGO BERNABEU-REAL MADRID",76119655,Pilar,Chamartín,Castilla,40.47732793687952,-3.6842688539596398,Entire home/apt,50,4,22,2018-11-05,2.56,2,302
23281803,Smart Plaza de las Cortes Work&Family,11500558,Esther Celdran,Centro,Cortes,40.416725514080404,-3.6967058887601447,Entire home/apt,90,2,6,2018-06-21,0.71,1,121
23282366,LAVAPIES EASY ENJOY WIFI AC,173332014,Marta Y Paloma,Centro,Embajadores,40.41033562648777,-3.701149608939482,Entire home/apt,80,2,36,2018-10-27,4.22,1,192
23282434,Ático en Cava Baja,39362213,Ricardo,Centro,Palacio,40.41225551133946,-3.7089933350507063,Entire home/apt,400,1,1,2018-03-08,0.12,25,0
23284290,Habitación individual muy cerca de Azca - Bernabéu,173337253,Pilar,Tetuán,Cuatro Caminos,40.4543417830573,-3.6973975173844784,Private room,35,1,28,2018-10-28,3.49,1,180
23285940,"Bright and open apartment in San Bernardo, Madrid",173316705,Jose Luis Y Marina,Chamberí,Trafalgar,40.430473499793926,-3.7049376408897943,Entire home/apt,60,3,21,2018-10-21,2.74,1,112
