"distrito","ano","quarter","precio"
"Moratalaz",2015,4,8.43330203077937
"Puente De Vallecas",2015,4,8.98973007592361
"Retiro",2015,4,13.1846677725839
"Salamanca",2015,4,15.0481230132106
"San Blas",2015,4,9.67613250255948
"Tetuan",2015,4,12.5304514010362
"Usera",2015,4,9.88686508578398
"Vicálvaro",2015,4,8.67172217767219
"Villa De Vallecas",2015,4,8.95258278308353
"Villaverde",2015,4,8.87440523293855
"Arganzuela",2016,1,12.1677147315025
"Barajas",2016,1,10.2468199908617
"Carabanchel",2016,1,8.94712271369279
"Centro",2016,1,15.9119540612923
"Chamartín",2016,1,13.5688040596715
"Chamberí",2016,1,14.7625851652157
"Ciudad Lineal",2016,1,11.2554782626014
"Fuencarral",2016,1,10.6508967759469
"Hortaleza",2016,1,10.8930366081855
"Latina",2016,1,9.41550617196208
"Moncloa",2016,1,12.8403103973192
"Moratalaz",2016,1,8.88921339669341
"Puente De Vallecas",2016,1,8.97881027809778
"Retiro",2016,1,13.5165701392935
"Salamanca",2016,1,15.6367050627137
"San Blas",2016,1,9.64734247845529
"Tetuan",2016,1,12.913108594216
"Usera",2016,1,9.73781682917016
"Vicálvaro",2016,1,8.36439523545268
"Villa De Vallecas",2016,1,9.18765883685146
"Villaverde",2016,1,8.21315427455413
"Arganzuela",2016,2,11.9834141460663
"Barajas",2016,2,10.6240699216793
"Carabanchel",2016,2,9.3046135369954
"Centro",2016,2,15.9706301435141
"Chamartín",2016,2,13.8510672310924
"Chamberí",2016,2,15.189586230168
"Ciudad Lineal",2016,2,11.1186050202293
"Fuencarral",2016,2,10.6990092792695
"Hortaleza",2016,2,11.0853804503991
"Latina",2016,2,9.37146272022585
"Moncloa",2016,2,12.8319024624526
"Moratalaz",2016,2,9.25576284909197
"Puente De Vallecas",2016,2,9.08118129866036
"Retiro",2016,2,13.7544207413979
"Salamanca",2016,2,15.5798931394844
"San Blas",2016,2,9.70084875999932
"Tetuan",2016,2,12.7899732729147
"Usera",2016,2,9.42055212732557
"Vicálvaro",2016,2,9.01354566174889
"Villa De Vallecas",2016,2,9.05103162950543
"Villaverde",2016,2,8.18347983494349
"Arganzuela",2016,3,13.405683896115
"Barajas",2016,3,10.9660461687553
"Carabanchel",2016,3,9.66079838623608
"Centro",2016,3,16.9096751593232
"Chamartín",2016,3,14.2706296553719
"Chamberí",2016,3,15.8800102376416
"Ciudad Lineal",2016,3,11.5947897628373
"Fuencarral",2016,3,11.3299755057005
"Hortaleza",2016,3,11.6691660267729
"Latina",2016,3,9.90097199367841
"Moncloa",2016,3,13.8417356956761
"Moratalaz",2016,3,9.84540414151086
"Puente De Vallecas",2016,3,9.47504553619131
"Retiro",2016,3,14.5771048634449
"Salamanca",2016,3,16.1076402587202
"San Blas",2016,3,10.0754945160857
"Tetuan",2016,3,13.9251557875487
"Usera",2016,3,9.75436692097902
