"distrito","ano","quarter","precio"
"Latina",2005,4,2990.17402287142
"Moncloa",2005,4,3924.58659671927
"Moratalaz",2005,4,3108.0613657528
"Puente De Vallecas",2005,4,2980.51060590826
"Retiro",2005,4,4061.42677337017
"Salamanca",2005,4,4552.44610545613
"San Blas",2005,4,3354.43535194717
"Tetuán",2005,4,3764.81387321033
"Usera",2005,4,2903.38746664083
"Vicálvaro",2005,4,3145.28704829792
"Villa De Vallecas",2005,4,2879.57340202619
"Villaverde",2005,4,2657.29794771178
"Arganzuela",2006,1,3781.22042486283
"Barajas",2006,1,3445.13463463144
"Carabanchel",2006,1,2923.71094533867
"Centro",2006,1,4145.20811180892
"Chamartín",2006,1,4609.31734829234
"Chamberí",2006,1,4658.37082703513
"Ciudad Lineal",2006,1,3695.49195634713
"Fuencarral",2006,1,3743.38340303951
"Hortaleza",2006,1,3658.93457740791
"Latina",2006,1,3096.08205126413
"Moncloa",2006,1,4017.55893851927
"Moratalaz",2006,1,3242.82544501053
"Puente De Vallecas",2006,1,3018.80295955832
"Retiro",2006,1,4136.8229886384
"Salamanca",2006,1,4659.52550451214
"San Blas",2006,1,3370.13887038573
"Tetuán",2006,1,3899.90796698274
"Usera",2006,1,2981.72234220028
"Vicálvaro",2006,1,3201.32564669304
"Villa De Vallecas",2006,1,2997.64969802071
"Villaverde",2006,1,2672.90185292276
"Arganzuela",2006,2,3828.31160848678
"Barajas",2006,2,3514.79039226453
"Carabanchel",2006,2,3114.38707731969
"Centro",2006,2,4279.60531433023
"Chamartín",2006,2,4701.26650006787
"Chamberí",2006,2,4738.99983325856
"Ciudad Lineal",2006,2,3789.20499090305
"Fuencarral",2006,2,3830.29781586685
"Hortaleza",2006,2,3673.13257138149
"Latina",2006,2,3166.68274550041
"Moncloa",2006,2,4079.05734916548
"Moratalaz",2006,2,3323.64570083521
"Puente De Vallecas",2006,2,3092.1644904839
"Retiro",2006,2,4239.50385518623
"Salamanca",2006,2,4722.55725231207
"San Blas",2006,2,3413.62936044034
"Tetuán",2006,2,3963.97896418851
"Usera",2006,2,3001.09615597136
"Vicálvaro",2006,2,3294.3617906114
"Villa De Vallecas",2006,2,3045.59490332135
"Villaverde",2006,2,2764.00797750661
"Arganzuela",2006,3,3903.50453636869
"Barajas",2006,3,3554.19574195727
"Carabanchel",2006,3,3161.1754359804
"Centro",2006,3,4261.86413383991
"Chamartín",2006,3,4668.83818782141
"Chamberí",2006,3,4752.41062927584
"Ciudad Lineal",2006,3,3804.74936504094
"Fuencarral",2006,3,3830.86148099677
"Hortaleza",2006,3,3760.56840275307
"Latina",2006,3,3226.68131709272
