Provincia	Municipio	Localidad	C.P.	Dirección	Margen	"Longitud (WGS84)"	"Latitud (WGS84)"	"Precio Gasolina 95 Protección"	"Precio Gasoleo A"	"Precio Nuevo Gasoleo A"	"Precio Biodiesel"	"% éster metílico"	"Precio Bioetanol"	"% Bioalcohol"	"Precio Gasolina  98"	"Precio Gas Natural Comprimido"	Rótulo	"Tipo Venta"	Remisión	Horario
CORUÑA (A)	Pontes de García Rodríguez (As)	PONTES DE GARCIA RODRIGUEZ (AS) (SANTA MARIA)	15320	CTRA. L-142 km 18,187	D	-7,987333	43,436306	1,255	1,195			0,0		0,0	1,375		E.S. PORTA DO EUME	P	dm	L-D: 06:30-23:00
CORUÑA (A)	Porto do Son	PORTO DO SON             	15970	LUGAR OUTEIRO NOAL, 1	D	-8,985083	42,731806	1,269	1,199			0,0		0,0	1,369		CEPSA	P	dm	L: 07:00-23:00
CORUÑA (A)	Rianxo	RIANXO                   	15920	LUGAR OUROLO, 73	I	-8,832389	42,681417	1,265	1,199	1,269		0,0		0,0	1,385		MEROIL	P	dm	L: 07:00-23:00
CORUÑA (A)	Rianxo	RIANXO                   	15920	CARRETERA AC- 305 KM. 14,500	D	-8,819944	42,679306	1,265	1,199	1,269		0,0		0,0	1,385		REPSOL	P	dm	L-S: 07:00-22:00; D: 09:00-22:00
CORUÑA (A)	Rianxo	RIANXO                   	15920	MUELLE PORTO DE RIANXO, S/N	N	-8,821972	42,647722	1,265	1,199	1,269		0,0		0,0	1,385		MEROIL	P	dm	L: 07:00-23:00
CORUÑA (A)	Rianxo	TE                       	15985	POLIGONO EMPRESARIAL-PARCELA 3, 3	D	-8,811250	42,669417	1,269	1,199	1,269		0,0		0,0	1,396		BP	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Ribeira	SANTA UXIA DE RIBEIRA	15960	CTRA.C-550 km 41	N	-8,982833	42,569528	1,239	1,179	1,209		0,0		0,0	1,369		SHELL	P	dm	L-D: 24H
CORUÑA (A)	Ribeira	SANTA UXIA DE RIBEIRA	15960	PLAZA PLAZA DEL MALECON, S/N	D	-8,988833	42,554250	1,255	1,189	1,254		0,0		0,0			CAMPSA	P	OM	L-D: 08:00-22:00
CORUÑA (A)	Ribeira	SANTA UXIA DE RIBEIRA	15960	CTRA. C-550 (CTRA C-550 km 45)	I	-9,002389	42,587389	1,228	1,158	1,198		0,0		0,0	1,378		AGRO DO FORNO	P	dm	L-D: 24H
CORUÑA (A)	Ribeira	SANTA UXIA DE RIBEIRA	15968	POLIGONO XARAS PARCELA, 101	D	-8,999583	42,571028	1,219	1,149			0,0		0,0			SBC	P	dm	L-D: 24H
CORUÑA (A)	Rois	MARTELO                  	15282	CARRETERA C-543 KM. 23	I	-8,776167	42,812444	1,279	1,199	1,319		0,0		0,0			GASOLINERA FONTEFRIA	P	dm	L-D: 07:00-22:00
CORUÑA (A)	Sada	SADA                     	15160	CL AVENIDA REPUBLICA ARGENTINA 49   I (L-162 km 1)	I	-8,253694	43,348556	1,230	1,180	1,250		0,0		0,0	1,320		SHELL	P	dm	L-D: 07:30-00:00
CORUÑA (A)	Sada	SADA                     	15160	LUGAR ESPIRITU SANTO, 14	D	-8,288917	43,314722	1,265	1,209	1,269		0,0		0,0	1,379		CEPSA	P	OM	L: 07:00-11:00
CORUÑA (A)	Sada	SADA                     	15160	CARRETERA N-VI KM. 582	N	-8,288694	43,314833	1,265	1,209	1,269		0,0		0,0	1,379		CEPSA	P	OM	L-D: 24H
CORUÑA (A)	Sada	TARABELO                 	15160	CARRETERA CP-5813 KM. 5,3	I	-8,268861	43,345972	1,264	1,214	1,279		0,0		0,0			REPSOL	P	OM	L-D: 07:00-23:00
CORUÑA (A)	Sada	OSEDO                    	15168	CARRETERA CTRA. SADA OLEIROS, KM. 3,65 KM. 3,650	I	-8,285750	43,339056	1,230	1,180	1,250		0,0		0,0	1,320		SHELL	P	dm	L-D: 07:00-23:00
CORUÑA (A)	San Sadurniño	MARQUES DE SAN SADURNIÑO, AVENIDA DO	15560	CARRETERA AC 862 KM. 15,5	D	-8,085083	43,527139	1,185	1,119	1,189		0,0		0,0	1,305		GALP	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santa Comba	SANTA COMBA              	15840	LUGAR CABREIRA - ARANTON (AC-404 KM. 45.0), 0	I	-8,855306	43,056944	1,239	1,187			0,0		0,0	1,339		E.S. CABREIRA	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santa Comba	SANTA COMBA              	15840	LUGAR SAN ANDRES-A PEREIRA (AC-400 KM 61.0), 0	D	-8,861972	42,997861	1,239	1,186	1,286		0,0		0,0	1,339		E.S. MUIÑO GRANDE	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santa Comba	SANTA COMBA              	15840	AVENIDA BRASIL, 0	I	-8,817556	43,027333	1,279	1,199	1,269		0,0		0,0	1,399		LAG XALLAS	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santa Comba	SANTA COMBA              	15840	CARRETERA LC-402 KM. 74,1	I	-8,803778	43,033639	1,255	1,209	1,269		0,0		0,0	1,369		CEPSA	P	OM	L-D: 07:00-23:30
CORUÑA (A)	Santiago de Compostela	SANTIAGO DE COMPOSTELA   	15705	AVENIDA DO CRUCEIRO DA CORUÑA, 2	I	-8,532861	42,892139	1,289	1,239	1,319		0,0		0,0	1,439		REPSOL	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santiago de Compostela	SANTIAGO DE COMPOSTELA   	15705	CALLE CRUCEIRO DO, 228	D	-8,520306	42,902278	1,219	1,159			0,0		0,0			SBC	P	dm	L-D: 24H
CORUÑA (A)	Santiago de Compostela	SANTIAGO DE COMPOSTELA   	15705	CR  N-550 , P.K. 60 - MEIXONFRIO	D	-8,487139	42,922750	1,269	1,229	1,294		0,0		0,0	1,388		REPSOL	P	OM	L-D: 07:00-23:00
CORUÑA (A)	Santiago de Compostela	SANTIAGO DE COMPOSTELA   	15706	XOAN CARLOS I S/N	D	-8,548667	42,876111	1,279	1,199	1,319		0,0		0,0			GALP	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santiago de Compostela	ROXOS                    	15896	CARRETERA C-543 KM. 6,400	D	-8,622611	42,873167	1,289	1,239	1,319		0,0		0,0	1,439		REPSOL	P	dm	L-D: 07:00-23:00
CORUÑA (A)	Santiago de Compostela	SANTIAGO DE COMPOSTELA   	15890	VÍA EDISON, 259	D	-8,513639	42,911667	1,289	1,239	1,319		0,0		0,0	1,439		REPSOL	P	dm	L-V: 07:00-23:00; S: 08:00-15:00
